h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9,h_10,h_11,h_12,h_13
3,6,11,18,27,38,51,66,83,102,123,146,171
0,8,13,20,29,40,53,68,85,104,125,148,173
0,0,15,22,31,42,55,70,87,106,127,150,175
0,0,0,24,33,44,57,72,89,108,129,152,177
0,0,0,0,35,46,59,74,91,110,131,154,179
0,0,0,0,0,48,61,76,93,112,133,156,181
0,0,0,0,0,0,63,78,95,114,135,158,183
0,0,0,0,0,0,0,80,97,116,137,160,185
0,0,0,0,0,0,0,0,99,118,139,162,187
0,0,0,0,0,0,0,0,0,120,141,164,189
0,0,0,0,0,0,0,0,0,0,143,166,191
0,0,0,0,0,0,0,0,0,0,0,168,193
0,0,0,0,0,0,0,0,0,0,0,0,195
