g_1,g_2,g_3,g_4,g_5,g_6,g_7,g_8,g_9,g_10,g_11,g_12,g_13
1,4,9,16,25,36,49,64,81,100,121,144,169
2,5,10,17,26,37,50,65,82,101,122,145,170
0,7,12,19,28,39,52,67,84,103,124,147,172
0,0,14,21,30,41,54,69,86,105,126,149,174
0,0,0,23,32,43,56,71,88,107,128,151,176
0,0,0,0,34,45,58,73,90,109,130,153,178
0,0,0,0,0,47,60,75,92,111,132,155,180
0,0,0,0,0,0,62,77,94,113,134,157,182
0,0,0,0,0,0,0,79,96,115,136,159,184
0,0,0,0,0,0,0,0,98,117,138,161,186
0,0,0,0,0,0,0,0,0,119,140,163,188
0,0,0,0,0,0,0,0,0,0,142,165,190
0,0,0,0,0,0,0,0,0,0,0,167,192
0,0,0,0,0,0,0,0,0,0,0,0,194
